t(s),Flux surface 1: solute,Flux surface 1: solute,Total solute volume 1,Total 2 volume 1,Total 3 volume 1,Total retention volume 1
448.18406970191404,-2.3784074336304308e+16,-2.3784074336304308e+16,27560312530348.87,2.3626960162126406e+19,5.502290947101474e+18,1.0134969264328414e+20
448.68406970191404,-2.363519194595795e+16,-2.363519194595795e+16,27412289266898.305,2.3629809571810025e+19,5.502496178610102e+18,1.013378478988103e+20
449.18406970191404,-2.3488601790440172e+16,-2.3488601790440172e+16,27266622386687.89,2.3632643868049994e+19,5.502698003334323e+18,1.0132607675082913e+20
449.68406970191404,-2.334424713312963e+16,-2.334424713312963e+16,27123249942303.434,2.363546330262049e+19,5.502896506345923e+18,1.0131437807819935e+20
450.18406970191404,-2.7328690161396876e+16,-2.7328690161396876e+16,30604329997968.266,2.3638728074359505e+19,5.503126078619886e+18,1.013006828339986e+20
450.68406970191404,-4.195267755115574e+16,-4.195267755115574e+16,42533680129965.17,2.36436124040389e+19,5.503472017919654e+18,1.0127965948859346e+20
451.18406970191404,-6.33278813548342e+16,-6.33278813548342e+16,58327564551789.38,2.3650898456661967e+19,5.503979937570077e+18,1.0124792559200307e+20
451.68406970191404,-9.383426285587786e+16,-9.383426285587786e+16,78805499728120.4,2.3661707143903932e+19,5.504702681749311e+18,1.0120090707266807e+20
452.18406970191404,-1.3616778497036187e+17,-1.3616778497036187e+17,104704960674446.16,2.3677556073477423e+19,5.505692848593843e+18,1.0113268099568255e+20
452.68406970191404,-1.9301867089020278e+17,-1.9301867089020278e+17,136520744631147.8,2.370038499664976e+19,5.50698932883938e+18,1.0103598041640655e+20
453.18406970191404,-2.665677321863881e+17,-2.665677321863881e+17,174337014881703.97,2.3732555915093713e+19,5.50860001910637e+18,1.0090245269293808e+20
453.68406970191404,-3.5793609516455475e+17,-3.5793609516455475e+17,217726206491195.3,2.3776826777142444e+19,5.510487576586777e+18,1.0072319413993089e+20
454.18406970191404,-4.6685658330734976e+17,-4.6685658330734976e+17,265788552077012.66,2.3836284056965788e+19,5.512567397699276e+18,1.0048944801676888e+20
454.68406970191404,-5.918247933960325e+17,-5.918247933960325e+17,317344456575960.9,2.3914215001354306e+19,5.514722559246122e+18,1.001932219878143e+20
455.18406970191404,-7.307390548657938e+17,-7.307390548657938e+17,371203460913760.4,2.401390456048879e+19,5.516830603252994e+18,9.982757741382019e+19
455.68406970191404,-8.816809446173239e+17,-8.816809446173239e+17,426393387063931.3,2.4138368478595285e+19,5.51878984620848e+18,9.938652282325821e+19
456.18406970191404,-1.0433540293263706e+18,-1.0433540293263706e+18,482273389014437.7,2.4290089248347767e+19,5.520534606366885e+18,9.88646922726313e+19
456.68406970191404,-1.2149908640942264e+18,-1.2149908640942264e+18,538529356437787.56,2.4470860613329072e+19,5.522036754663334e+18,9.825708325477065e+19
457.18406970191404,-1.3959928905179036e+18,-1.3959928905179036e+18,595098211419925.5,2.468180828576258e+19,5.523297920070519e+18,9.755898504127008e+19
457.68406970191404,-1.5856800756270031e+18,-1.5856800756270031e+18,652072141756747.4,2.492355834658571e+19,5.524338535308649e+18,9.676603125570193e+19
458.18406970191404,-1.7832391388356436e+18,-1.7832391388356436e+18,709614575425664.9,2.5196458265650373e+19,5.525188033138098e+18,9.58742705879717e+19
458.68406970191404,-1.9877205735531512e+18,-1.9877205735531512e+18,767899124461757.4,2.550076031312054e+19,5.52587790429335e+18,9.48802338681705e+19
459.18406970191404,-2.1979811279986063e+18,-2.1979811279986063e+18,827070257023103.4,2.583671846457049e+19,5.526437627889212e+18,9.378102992540683e+19
459.68406970191404,-2.412596428237833e+18,-2.412596428237833e+18,887219787740140.6,2.6204588979162173e+19,5.526892785158761e+18,9.257448693208698e+19
460.18406970191404,-2.6297992729423196e+18,-2.6297992729423196e+18,948373076353770.4,2.660454948817037e+19,5.527264563408356e+18,9.125932499766159e+19
460.68406970191404,-2.8474676605469865e+18,-2.8474676605469865e+18,1010480304618484.6,2.703655808845958e+19,5.527570008789369e+18,8.983533275091457e+19
461.18406970191404,-3.06315817623031e+18,-3.06315817623031e+18,1073409908774463.0,2.750016712584252e+19,5.527822598759703e+18,8.830352354280325e+19
461.68406970191404,-3.274163931085075e+18,-3.274163931085075e+18,1136942698859312.5,2.799430121781226e+19,5.528032887086872e+18,8.666625961599246e+19
462.18406970191404,-3.4775699442657213e+18,-3.4775699442657213e+18,1200766366384139.2,2.851701412130531e+19,5.528209099871689e+18,8.492734916519602e+19
462.68406970191404,-3.6702925841849784e+18,-3.6702925841849784e+18,1264471071104685.8,2.906524404308877e+19,5.528357636125278e+18,8.30921288295856e+19
463.18406970191404,-3.8491214129313556e+18,-3.8491214129313556e+18,1327547717286569.0,2.9634577336423936e+19,5.528483465712269e+18,8.11675317255709e+19
463.68406970191404,-4.010802367293964e+18,-4.010802367293964e+18,1389391456654404.2,3.0219011138020745e+19,5.528590434348297e+18,7.916211670937967e+19
464.18406970191404,-4.152185328640958e+18,-4.152185328640958e+18,1449313901929726.0,3.0810698820777878e+19,5.528681489592095e+18,7.708602159354828e+19
464.68406970191404,-4.2704234520754335e+18,-4.2704234520754335e+18,1506568413514746.0,3.139967961442572e+19,5.528758840146786e+18,7.495081253283804e+19
465.18406970191404,-4.3631934118912737e+18,-4.3631934118912737e+18,1560393382438861.0,3.1973623545728573e+19,5.528824057290244e+18,7.276922076729509e+19
